MES/AÑO,TIPO CLIENTES,PRODUCTO,% TIENDAS IMPACTADAS
201803,CLIENTES PEQUEÑOS,A15,6
201803,CLIENTES PEQUEÑOS,A16,5
201803,CLIENTES PEQUEÑOS,A17,10
201803,CLIENTES PEQUEÑOS,A18,80
201803,CLIENTES PEQUEÑOS,A19,68
201803,CLIENTES PEQUEÑOS,A20,61
201803,CLIENTES PEQUEÑOS,A21,65
201803,CLIENTES PEQUEÑOS,A22,40
201803,CLIENTES PEQUEÑOS,A23,73
201804,CLIENTES GRANDES,A1,93
201804,CLIENTES GRANDES,A2,100
201804,CLIENTES GRANDES,A3,88
201804,CLIENTES GRANDES,A4,100
201804,CLIENTES GRANDES,A5,95
201804,CLIENTES GRANDES,A6,89
201804,CLIENTES GRANDES,A7,90
201804,CLIENTES GRANDES,A8,99
201804,CLIENTES GRANDES,A9,92
201804,CLIENTES GRANDES,A10,94
201804,CLIENTES GRANDES,A11,95
201804,CLIENTES GRANDES,A12,96
201804,CLIENTES GRANDES,A13,96
201804,CLIENTES GRANDES,A14,97
201804,CLIENTES GRANDES,A15,94
201804,CLIENTES GRANDES,A16,89
201804,CLIENTES GRANDES,A17,75
201804,CLIENTES GRANDES,A18,95
201804,CLIENTES GRANDES,A19,100
201804,CLIENTES GRANDES,A20,100
201804,CLIENTES GRANDES,A21,96
201804,CLIENTES GRANDES,A22,86
201804,CLIENTES GRANDES,A23,100
201804,CLIENTES GRANDES,A24,93
201804,CLIENTES PEQUEÑOS,A1,49
201804,CLIENTES PEQUEÑOS,A2,27
201804,CLIENTES PEQUEÑOS,A3,25
201804,CLIENTES PEQUEÑOS,A4,72
201804,CLIENTES PEQUEÑOS,A5,35
201804,CLIENTES PEQUEÑOS,A6,7
201804,CLIENTES PEQUEÑOS,A7,4
201804,CLIENTES PEQUEÑOS,A8,25
201804,CLIENTES PEQUEÑOS,A9,30
201804,CLIENTES PEQUEÑOS,A10,29
201804,CLIENTES PEQUEÑOS,A11,36
201804,CLIENTES PEQUEÑOS,A14,42
201804,CLIENTES PEQUEÑOS,A15,6
201804,CLIENTES PEQUEÑOS,A16,5
201804,CLIENTES PEQUEÑOS,A17,11
201804,CLIENTES PEQUEÑOS,A18,81
201804,CLIENTES PEQUEÑOS,A19,69
201804,CLIENTES PEQUEÑOS,A20,61
201804,CLIENTES PEQUEÑOS,A21,66
201804,CLIENTES PEQUEÑOS,A22,40
201804,CLIENTES PEQUEÑOS,A23,72
201805,CLIENTES GRANDES,A1,94
201805,CLIENTES GRANDES,A2,100
201805,CLIENTES GRANDES,A3,86
201805,CLIENTES GRANDES,A4,100
201805,CLIENTES GRANDES,A5,95
201805,CLIENTES GRANDES,A6,88
201805,CLIENTES GRANDES,A7,90
201805,CLIENTES GRANDES,A8,99
201805,CLIENTES GRANDES,A9,92
201805,CLIENTES GRANDES,A10,93
201805,CLIENTES GRANDES,A11,95
201805,CLIENTES GRANDES,A12,95
201805,CLIENTES GRANDES,A13,95
201805,CLIENTES GRANDES,A14,99
201805,CLIENTES GRANDES,A15,93
201805,CLIENTES GRANDES,A16,88
201805,CLIENTES GRANDES,A17,74
201805,CLIENTES GRANDES,A18,94
201805,CLIENTES GRANDES,A19,100
201805,CLIENTES GRANDES,A20,100
201805,CLIENTES GRANDES,A21,95
201805,CLIENTES GRANDES,A22,86
201805,CLIENTES GRANDES,A23,100
201805,CLIENTES GRANDES,A24,93
201805,CLIENTES PEQUEÑOS,A1,49
201805,CLIENTES PEQUEÑOS,A2,28
201805,CLIENTES PEQUEÑOS,A3,25
201805,CLIENTES PEQUEÑOS,A4,71
201805,CLIENTES PEQUEÑOS,A5,35
201805,CLIENTES PEQUEÑOS,A6,5
201805,CLIENTES PEQUEÑOS,A7,4
201805,CLIENTES PEQUEÑOS,A8,24
201805,CLIENTES PEQUEÑOS,A9,29
201805,CLIENTES PEQUEÑOS,A10,29
201805,CLIENTES PEQUEÑOS,A11,37
201805,CLIENTES PEQUEÑOS,A14,43
201805,CLIENTES PEQUEÑOS,A15,6
201805,CLIENTES PEQUEÑOS,A16,5
201805,CLIENTES PEQUEÑOS,A17,11
201805,CLIENTES PEQUEÑOS,A18,81
201805,CLIENTES PEQUEÑOS,A19,69
201805,CLIENTES PEQUEÑOS,A20,62
201805,CLIENTES PEQUEÑOS,A21,67
201805,CLIENTES PEQUEÑOS,A22,41
201805,CLIENTES PEQUEÑOS,A23,72
201806,CLIENTES GRANDES,A1,94
201806,CLIENTES GRANDES,A2,100
201806,CLIENTES GRANDES,A3,86
201806,CLIENTES GRANDES,A4,100
201806,CLIENTES GRANDES,A5,94
201806,CLIENTES GRANDES,A6,87
201806,CLIENTES GRANDES,A7,88
201806,CLIENTES GRANDES,A8,99
201806,CLIENTES GRANDES,A9,91
201806,CLIENTES GRANDES,A10,91
