MES/AÑO,TIPO CLIENTES,PRODUCTO,INVERSION
201803,CLIENTES GRANDES,A24,0.4264
201803,CLIENTES PEQUEÑOS,A1,0.2878
201803,CLIENTES PEQUEÑOS,A2,0.2989
201803,CLIENTES PEQUEÑOS,A3,0.2118
201803,CLIENTES PEQUEÑOS,A4,0.2329
201803,CLIENTES PEQUEÑOS,A5,0.2431
201803,CLIENTES PEQUEÑOS,A6,0.2301
201803,CLIENTES PEQUEÑOS,A7,0.2431
201803,CLIENTES PEQUEÑOS,A8,0.2181
201803,CLIENTES PEQUEÑOS,A9,0.2144
201803,CLIENTES PEQUEÑOS,A10,0.282
201803,CLIENTES PEQUEÑOS,A11,0.2058
201803,CLIENTES PEQUEÑOS,A14,0.275
201803,CLIENTES PEQUEÑOS,A15,0.3003
201803,CLIENTES PEQUEÑOS,A16,0.2455
201803,CLIENTES PEQUEÑOS,A17,0.2581
201803,CLIENTES PEQUEÑOS,A18,0.2567
201803,CLIENTES PEQUEÑOS,A19,0.2018
201803,CLIENTES PEQUEÑOS,A20,0.2386
201803,CLIENTES PEQUEÑOS,A21,0.2722
201803,CLIENTES PEQUEÑOS,A22,0.2379
201803,CLIENTES PEQUEÑOS,A23,0.2851
201804,CLIENTES GRANDES,A1,0.2838
201804,CLIENTES GRANDES,A2,0.2287
201804,CLIENTES GRANDES,A3,0.2832
201804,CLIENTES GRANDES,A4,0.2293
201804,CLIENTES GRANDES,A5,0.2772
201804,CLIENTES GRANDES,A6,0.2298
201804,CLIENTES GRANDES,A7,0.2607
201804,CLIENTES GRANDES,A8,0.1965
201804,CLIENTES GRANDES,A9,0.2225
201804,CLIENTES GRANDES,A10,0.2984
201804,CLIENTES GRANDES,A11,0.2629
201804,CLIENTES GRANDES,A12,0.1991
201804,CLIENTES GRANDES,A13,0.2302
201804,CLIENTES GRANDES,A14,0.2794
201804,CLIENTES GRANDES,A15,0.3802
201804,CLIENTES GRANDES,A16,0.2888
201804,CLIENTES GRANDES,A17,0.2825
201804,CLIENTES GRANDES,A18,0.202
201804,CLIENTES GRANDES,A19,0.2196
201804,CLIENTES GRANDES,A20,0.267
201804,CLIENTES GRANDES,A21,0.2953
201804,CLIENTES GRANDES,A22,0.2275
201804,CLIENTES GRANDES,A23,-0.0204
201804,CLIENTES GRANDES,A24,0.278
201804,CLIENTES PEQUEÑOS,A1,0.2838
201804,CLIENTES PEQUEÑOS,A2,0.2287
201804,CLIENTES PEQUEÑOS,A3,0.2832
201804,CLIENTES PEQUEÑOS,A4,0.2293
201804,CLIENTES PEQUEÑOS,A5,0.2772
201804,CLIENTES PEQUEÑOS,A6,0.2298
201804,CLIENTES PEQUEÑOS,A7,0.2607
201804,CLIENTES PEQUEÑOS,A8,0.1965
201804,CLIENTES PEQUEÑOS,A9,0.2225
201804,CLIENTES PEQUEÑOS,A10,0.2984
201804,CLIENTES PEQUEÑOS,A11,0.2629
201804,CLIENTES PEQUEÑOS,A14,0.2794
201804,CLIENTES PEQUEÑOS,A15,0.3802
201804,CLIENTES PEQUEÑOS,A16,0.2888
201804,CLIENTES PEQUEÑOS,A17,0.2825
201804,CLIENTES PEQUEÑOS,A18,0.202
201804,CLIENTES PEQUEÑOS,A19,0.2196
201804,CLIENTES PEQUEÑOS,A20,0.267
201804,CLIENTES PEQUEÑOS,A21,0.2953
201804,CLIENTES PEQUEÑOS,A22,0.2275
201804,CLIENTES PEQUEÑOS,A23,-0.0204
201805,CLIENTES GRANDES,A1,0.3601
201805,CLIENTES GRANDES,A2,0.2936
201805,CLIENTES GRANDES,A3,0.2716
201805,CLIENTES GRANDES,A4,0.2935
201805,CLIENTES GRANDES,A5,0.2407
201805,CLIENTES GRANDES,A6,0.2855
201805,CLIENTES GRANDES,A7,0.3251
201805,CLIENTES GRANDES,A8,0.263
201805,CLIENTES GRANDES,A9,0.2172
201805,CLIENTES GRANDES,A10,0.2781
201805,CLIENTES GRANDES,A11,0.4164
201805,CLIENTES GRANDES,A12,0.1989
201805,CLIENTES GRANDES,A13,0.2097
201805,CLIENTES GRANDES,A14,0.4241
201805,CLIENTES GRANDES,A15,0.3864
201805,CLIENTES GRANDES,A16,0.346
201805,CLIENTES GRANDES,A17,0.3115
201805,CLIENTES GRANDES,A18,0.1982
201805,CLIENTES GRANDES,A19,0.32
201805,CLIENTES GRANDES,A20,0.2513
201805,CLIENTES GRANDES,A21,0.2654
201805,CLIENTES GRANDES,A22,0.2687
201805,CLIENTES GRANDES,A23,0.3091
201805,CLIENTES GRANDES,A24,0.3764
201805,CLIENTES PEQUEÑOS,A1,0.3601
201805,CLIENTES PEQUEÑOS,A2,0.2936
201805,CLIENTES PEQUEÑOS,A3,0.2716
201805,CLIENTES PEQUEÑOS,A4,0.2935
201805,CLIENTES PEQUEÑOS,A5,0.2407
201805,CLIENTES PEQUEÑOS,A6,0.2855
201805,CLIENTES PEQUEÑOS,A7,0.3251
201805,CLIENTES PEQUEÑOS,A8,0.263
