MES/AÑO,TIPO CLIENTES,PRODUCTO,VENTAS (TON)
201803,CLIENTES GRANDES,A23,65.753856
201803,CLIENTES GRANDES,A24,8.025696
201803,CLIENTES PEQUEÑOS,A1,45.13
201803,CLIENTES PEQUEÑOS,A2,24.652215
201803,CLIENTES PEQUEÑOS,A3,29.03
201803,CLIENTES PEQUEÑOS,A4,148.518378
201803,CLIENTES PEQUEÑOS,A5,25.774736
201803,CLIENTES PEQUEÑOS,A6,3.615898
201803,CLIENTES PEQUEÑOS,A7,2.192242
201803,CLIENTES PEQUEÑOS,A8,20.452968
201803,CLIENTES PEQUEÑOS,A9,137.066491
201803,CLIENTES PEQUEÑOS,A10,27.917358
201803,CLIENTES PEQUEÑOS,A11,3.83715
201803,CLIENTES PEQUEÑOS,A14,6.550837
201803,CLIENTES PEQUEÑOS,A15,4.551162
201803,CLIENTES PEQUEÑOS,A16,2.821224
201803,CLIENTES PEQUEÑOS,A17,9.75965
201803,CLIENTES PEQUEÑOS,A18,330.182432
201803,CLIENTES PEQUEÑOS,A19,51.677654
201803,CLIENTES PEQUEÑOS,A20,92.445277
201803,CLIENTES PEQUEÑOS,A21,129.611808
201803,CLIENTES PEQUEÑOS,A22,38.60795
201803,CLIENTES PEQUEÑOS,A23,78.025968
201804,CLIENTES GRANDES,A1,14.15568
201804,CLIENTES GRANDES,A2,44.561921
201804,CLIENTES GRANDES,A3,3.3113
201804,CLIENTES GRANDES,A4,37.178172
201804,CLIENTES GRANDES,A5,20.50204
201804,CLIENTES GRANDES,A6,4.970706
201804,CLIENTES GRANDES,A7,3.77208
201804,CLIENTES GRANDES,A8,21.622532
201804,CLIENTES GRANDES,A9,11.357205
201804,CLIENTES GRANDES,A10,10.608066
201804,CLIENTES GRANDES,A11,7.414416
201804,CLIENTES GRANDES,A12,4.791258
201804,CLIENTES GRANDES,A13,7.45959
201804,CLIENTES GRANDES,A14,18.331506
201804,CLIENTES GRANDES,A15,11.317218
201804,CLIENTES GRANDES,A16,2.58412
201804,CLIENTES GRANDES,A17,7.4965
201804,CLIENTES GRANDES,A18,9.450484
201804,CLIENTES GRANDES,A19,38.259397
201804,CLIENTES GRANDES,A20,46.628658
201804,CLIENTES GRANDES,A21,43.020642
201804,CLIENTES GRANDES,A22,11.0043
201804,CLIENTES GRANDES,A23,50.298696
201804,CLIENTES GRANDES,A24,10.805184
201804,CLIENTES PEQUEÑOS,A1,41.1422
201804,CLIENTES PEQUEÑOS,A2,45.78255
201804,CLIENTES PEQUEÑOS,A3,22.01855
201804,CLIENTES PEQUEÑOS,A4,92.797578
201804,CLIENTES PEQUEÑOS,A5,13.492076
201804,CLIENTES PEQUEÑOS,A6,3.793816
201804,CLIENTES PEQUEÑOS,A7,2.59623
201804,CLIENTES PEQUEÑOS,A8,19.079686
201804,CLIENTES PEQUEÑOS,A9,118.613012
201804,CLIENTES PEQUEÑOS,A10,20.353242
201804,CLIENTES PEQUEÑOS,A11,4.104432
201804,CLIENTES PEQUEÑOS,A14,7.033975
201804,CLIENTES PEQUEÑOS,A15,4.654782
201804,CLIENTES PEQUEÑOS,A16,2.19464
201804,CLIENTES PEQUEÑOS,A17,5.93735
201804,CLIENTES PEQUEÑOS,A18,341.354012
201804,CLIENTES PEQUEÑOS,A19,105.076555
201804,CLIENTES PEQUEÑOS,A20,64.961455
201804,CLIENTES PEQUEÑOS,A21,67.85108
201804,CLIENTES PEQUEÑOS,A22,40.63815
